id,trainNumber,ocpRef,name,trackRef,track,ref,name.1,dir,arrival,departure,minimalTime,ocpType,ref.1,code,stopPostRef,Unnamed: 16,Unnamed: 17,Train 1 Number,Train 2 Number,Train 1 Station,Train 2 Station,Conflict Track,Train 1 Time,Train 2 Time,Train 1 Row,Train 2 Row,Conflict Direction,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
tp_0_2_2025_9,VIA2,nON_OriN,Oriole North,,,stON_BalSub_0_ON_OriN_0,T1,down,,14:07:36,,pass,ou_2_2,Canadian,,,,4151,4150,King-Liberty Station,King-Liberty Station,T3,11:18:54,11:19:42,8200.0,8219.0,Head On,1922-06-12 00:00:00,8218.0,,
tp_0_2_2025_9,VIA2,nON_OriS,Oriole South,,,stON_BalSub_0_ON_OriS_0,T1,down,,14:10:06,,pass,ou_2_2,Canadian,,,,4153,4152,King-Liberty Station,King-Liberty Station,T3,11:33:54,11:34:42,8402.0,8416.0,Head On,1922-12-31 00:00:00,8415.0,,
tp_0_2_2025_9,VIA2,nON_Rsn,Rosedale North,,,stON_BalSub_0_ON_Rsn_1,T2,down,,14:22:12,,pass,ou_2_2,Canadian,,,,4155,4154,King-Liberty Station,King-Liberty Station,T3,11:48:54,11:49:42,8624.0,8643.0,Head On,1923-08-10 00:00:00,8642.0,,
tp_0_2_2025_9,VIA2,nON_Rss,Rosedale South,,,stON_BalSub_0_ON_Rss_1,T2,down,,14:24:48,,pass,ou_2_2,Canadian,,,,4157,4156,King-Liberty Station,King-Liberty Station,T3,12:03:54,12:04:42,8861.0,8872.0,Head On,1924-04-03 00:00:00,8871.0,,
tp_0_2_2025_9,VIA2,nON_ChyItl,Cherry St,,,stON_BalSub_0_ON_ChyItl_1,E2,down,,14:26:54,,pass,ou_2_2,Canadian,,,,4159,4158,King-Liberty Station,King-Liberty Station,T3,12:18:54,12:19:42,9079.0,9102.0,Head On,1924-11-07 00:00:00,9101.0,,
tp_0_2_2025_9,VIA2,nON_UniSt0,Union Station E0,,,stON_BalSub_0_ON_UniSt0_0,E3,down,,14:28:12,,pass,ou_2_2,Canadian,,,,4161,4160,King-Liberty Station,King-Liberty Station,T3,12:33:54,12:34:42,9310.0,9323.0,Head On,1925-06-26 00:00:00,9322.0,,
tp_0_2_2025_9,VIA2,nON_UniSt,Union Station,st_ON_UniSt_8,8,,,,14:29:00,,PT40M,stop,ou_2_2,Canadian,,,,4163,4162,King-Liberty Station,King-Liberty Station,T3,12:48:54,12:49:42,9540.0,9556.0,Head On,1926-02-11 00:00:00,9555.0,,
tp_0_11_2025_12,VIAE1,nON_MimYdS,TMC,,,stON_MimSub_0_ON_MimYdS_0,S1,down,,08:07:00,PT1M,stop,ou_2_2,Canadian,,,,4165,4164,King-Liberty Station,King-Liberty Station,T3,13:03:54,13:04:42,9750.0,9764.0,Head On,1926-09-09 00:00:00,9763.0,,
tp_0_11_2025_12,VIAE1,nON_MimSt,Mimico Station,st_ON_MimSt_6,S1,stON_OakSub_0_ON_MimSt_3,T4,down,,08:12:00,,pass,ou_2_2,Canadian,,,,4167,4166,King-Liberty Station,King-Liberty Station,T3,13:18:54,13:19:42,9954.0,9970.0,Head On,1927-04-01 00:00:00,9969.0,,
tp_0_11_2025_12,VIAE1,nON_PalSt,Park Lawn Station,st_ON_PalSt_4,T4,stON_OakSub_0_ON_PalSt_3,T4,down,,08:15:42,,pass,ou_2_2,Canadian,,,,4169,4168,King-Liberty Station,King-Liberty Station,T3,13:33:54,13:34:42,10153.0,10169.0,Head On,1927-10-17 00:00:00,10168.0,,
